apothecary
chrysanthemum
epitome
facsimile
hyperbole
juxtaposition
labyrinth
mnemonic
obfuscate
perspicacious
quizzical
rhapsody
sesquipedalian
tenacious
ubiquitous
vicissitude
whimsical
xenophobia
yachtsman
zephyranthes
